Month;Mileage;Temperature;FuelFlow
43252;696.8;15.2;10.08
43282;2751.5;19.4;8.91
43313;1308.7;17.9;7.45
43344;837.4;12.7;9.17
43374;2130.8;5.6;8.20
43405;704;-1.6;10.30
43435;666.3;-7.6;12.01
43466;840.5;-8.5;10.17
43497;642;-3.6;11.49
43525;900;-1.3;9.72
43556;642;6;9.74
43586;1130;14.1;8.85
43617;740;17;8.45
43647;1025;15.1;9.15
43678;1009;14.1;8.67
43709;2187;10.5;7.72
43739;2069;5.8;7.73
43770;377;-0.9;11.60
43800;393;-1.1;10.95
43831;600;-1.9;11.04
43862;791;-2.1;9.96
43891;475;1.9;10.85
43922;265;3.1;8.96
43952;1334;10.5;6.08
43983;1079;16.4;10.26
44013;1229;18.3;9.57
44044;1335;15.4;9.18
44075;37;12.5;16.89
44105;0;7;0.00
44136;235;0.4;12.77
44166;803;-7.1;10.43
44197;575;-8.6;11.30
44228;558;-15.3;12.99
44256;792;-3.5;9.94
44287;1515;6.4;7.96
44317;878;13.6;8.97
44348;733;19.9;9.72
44378;1379;20.5;8.97
44409;1534;17.9;8.56
44440;1025;8.8;10.00
44470;1236;5.8;8.19
44501;602;1;11.00
44531;1032;-10.6;7.87
44562;960;-8.5;10.03
44593;593;-2.3;11.17
44621;976;-2.8;9.09
44652;800;4.6;9.69
44682;838;8.8;8.65
44713;971;16.8;9.91
44743;1114;20.2;9.65
44774;1020;20.6;8.82
