Number;X;Y
0;696.8;10.08
1;2751.5;8.91
2;1308.7;7.45
3;837.4;9.17
4;2130.8;8.2
5;704.0;10.3
6;666.3;12.01
7;840.5;10.17
8;642.0;11.49
9;900.0;9.72
10;642.0;9.74
11;1130.0;8.85
12;740.0;8.45
13;1025.0;9.15
14;1009.0;8.67
15;2187.0;7.72
16;2069.0;7.73
17;377.0;11.6
18;393.0;10.95
19;600.0;11.04
20;791.0;9.96
21;475.0;10.85
22;265.0;8.96
23;1334.0;6.08
24;1079.0;10.26
25;1229.0;9.57
26;1335.0;9.18
27;37.0;16.89
28;235.0;12.77
29;803.0;10.43
30;575.0;11.3
31;558.0;12.99
32;792.0;9.94
33;1515.0;7.96
34;878.0;8.97
35;733.0;9.72
36;1379.0;8.97
37;1534.0;8.56
38;1025.0;10.0
39;1236.0;8.19
40;602.0;11.0
41;1032.0;7.87
42;960.0;10.03
43;593.0;11.17
44;976.0;9.09
45;800.0;9.69
46;838.0;8.65
47;971.0;9.91
48;1114.0;9.65
49;1020.0;8.82
